[2026-04-27T07:09:22] STARTUP | condition=system starting
[2026-04-27T07:10:53] SHUTDOWN | condition=manual
[2026-04-27T07:19:28] STARTUP | condition=system starting
[2026-04-27T07:27:33] ANOMALY_DETECTED | 216.180.246.126 | condition=zscore=4.04 | rate=0.03>0.01 | error_surge | rate=0.03 | baseline=0.00
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.88 | rate=5.88 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.90 | rate=5.90 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.92 | rate=5.92 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.93 | rate=5.93 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.95 | rate=5.95 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.97 | rate=5.97 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=5.98 | rate=5.98 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.00 | rate=6.00 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.02 | rate=6.02 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.03 | rate=6.03 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.05 | rate=6.05 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.07 | rate=6.07 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.08 | rate=6.08 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.10 | rate=6.10 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.12 | rate=6.12 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.13 | rate=6.13 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.15 | rate=6.15 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.17 | rate=6.17 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.18 | rate=6.18 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.20 | rate=6.20 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.22 | rate=6.22 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.23 | rate=6.23 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.25 | rate=6.25 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.27 | rate=6.27 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.28 | rate=6.28 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.30 | rate=6.30 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.32 | rate=6.32 | baseline=0.75
[2026-04-27T22:49:30] GLOBAL_ANOMALY | condition=global_rate=6.33 | rate=6.33 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.35 | rate=6.35 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.37 | rate=6.37 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.38 | rate=6.38 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.40 | rate=6.40 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.42 | rate=6.42 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.43 | rate=6.43 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.45 | rate=6.45 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.47 | rate=6.47 | baseline=0.75
[2026-04-27T22:49:31] GLOBAL_ANOMALY | condition=global_rate=6.48 | rate=6.48 | baseline=0.75
